"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 11 03:52:07 IST 2020","Thu Jun 11 03:52:21 IST 2020","14162","TestCases","test_TC_003_StaticDataDriven","","","","test_validate_registration[data0]",""
"passed","Thu Jun 11 03:52:21 IST 2020","Thu Jun 11 03:52:33 IST 2020","12229","TestCases","test_TC_003_StaticDataDriven","","","","test_validate_registration[data1]",""
"passed","Thu Jun 11 03:54:58 IST 2020","Thu Jun 11 03:55:10 IST 2020","12038","TestCases","test_TC_004_DatafromXL","","","","test_validate_registration[data3]",""
"passed","Thu Jun 11 03:55:10 IST 2020","Thu Jun 11 03:55:46 IST 2020","36456","TestCases","test_TC_004_DatafromXL","","","","test_validate_registration[data4]",""
"broken","Thu Jun 11 03:54:45 IST 2020","Thu Jun 11 03:54:57 IST 2020","12814","TestCases","test_TC_004_DatafromXL","","","","test_validate_registration[data2]",""
"passed","Thu Jun 11 03:51:53 IST 2020","Thu Jun 11 03:52:07 IST 2020","14151","TestCases","test_TC_002_EnterPassword","","","","test_enter_password",""
"broken","Thu Jun 11 03:52:50 IST 2020","Thu Jun 11 03:54:19 IST 2020","89387","TestCases","test_TC_004_DatafromXL","","","","test_validate_registration[data0]",""
"broken","Thu Jun 11 03:54:25 IST 2020","Thu Jun 11 03:54:44 IST 2020","19739","TestCases","test_TC_004_DatafromXL","","","","test_validate_registration[data1]",""
"passed","Thu Jun 11 03:51:38 IST 2020","Thu Jun 11 03:51:53 IST 2020","14099","TestCases","test_TC_001_RegistrationValidData","","","","test_validate_registration",""
"passed","Thu Jun 11 03:52:33 IST 2020","Thu Jun 11 03:52:50 IST 2020","16883","TestCases","test_TC_003_StaticDataDriven","","","","test_validate_registration[data2]",""
